player_name,pitch_type,stuffGrade,nPitches
Aroldis Chapman,FS,67.06861392468811,219
Aroldis Chapman,SI,58.26326351258594,106
Aroldis Chapman,SL,57.51557808565645,483
Art Warren,FF,47.49455106708692,410
Art Warren,SL,53.30399087086142,583
Artie Lewicki,FF,41.76439272821889,19
Artie Lewicki,SL,50.01344840286396,27
Asher Wojciechowski,CH,35.35983675899762,35
Asher Wojciechowski,CU,40.2673399838097,64
Asher Wojciechowski,FC,46.49315467260813,133
Asher Wojciechowski,FF,46.271572057031456,349
Asher Wojciechowski,SL,42.740605043738405,176
Ashton Goudeau,CH,42.32494572514196,220
Ashton Goudeau,CU,41.2728548875061,318
Ashton Goudeau,FF,41.43634533732394,513
Austin Adams,FF,52.47500212676001,146
Austin Adams,SL,56.303437337451406,769
Austin Brice,CH,37.98219530611184,14
Austin Brice,CU,47.5768764122892,306
Austin Brice,FF,36.92033675860932,295
Austin Brice,SI,41.90773137317855,172
Austin Davis,CH,47.89415598077128,246
Austin Davis,CU,41.61627295635711,29
Austin Davis,FF,46.65797254560723,792
Austin Davis,SI,43.830861095098264,27
Austin Davis,SL,45.345311331004304,618
Austin Gomber,CH,46.249352133484265,760
Austin Gomber,FF,48.78577241435867,1879
Austin Gomber,KC,42.48975905400798,770
Austin Gomber,SL,48.719876492541424,1035
Austin Pruitt,CH,51.52477442219521,50
Austin Pruitt,CU,52.11890666354421,177
Austin Pruitt,FF,44.22374557480662,317
Austin Pruitt,SL,52.91660763950975,366
Austin Voth,CH,36.9060168817873,14
Austin Voth,CU,51.47530571218296,1056
Austin Voth,FC,48.80783918628819,659
Austin Voth,FF,51.48804055316626,1903
Austin Voth,FS,40.069921538199154,31
Austin Voth,SL,57.86429369944905,85
Austin Warren,CH,41.08200501908633,24
Austin Warren,FF,52.64720708378534,182
Austin Warren,SI,52.3372919324438,122
Austin Warren,SL,55.85906827502761,242
Bailey Falter,CH,44.119956589695285,83
Bailey Falter,CU,47.68665190498862,238
Bailey Falter,FF,54.554930668128634,454
Bailey Falter,SI,45.597815797518024,770
Bailey Falter,SL,48.01277774406188,324
Bailey Ober,CH,42.195358463040996,325
Bailey Ober,CU,48.4201726425751,258
Bailey Ober,FF,47.27485079271973,1275
Bailey Ober,SL,40.714826690856526,472
Beau Brieske,CH,67.98301999006893,285
Beau Brieske,CU,44.94380625828557,49
Beau Brieske,FF,49.17534559052725,594
Beau Brieske,SI,44.84202895762663,92
Beau Brieske,SL,49.16692356094879,267
Beau Burrows,CH,43.056655543015815,48
Beau Burrows,CU,42.60216444433765,12
Beau Burrows,FF,46.77075143568873,199
Beau Burrows,SI,49.138430777832454,21
Beau Burrows,SL,46.82453994196674,109
Beau Sulser,CH,47.475279542580616,114
Beau Sulser,FC,44.41097635092885,82
Beau Sulser,FF,47.53915903717215,134
Beau Sulser,KC,38.35307467493666,30
Ben Bowden,CH,55.03169321072752,124
Ben Bowden,FF,47.47560357662407,477
Ben Bowden,SL,45.78522889875121,71
Ben Braymer,CH,48.595383051682596,34
Ben Braymer,CU,33.01748602717405,36
Ben Braymer,FF,40.80885903026365,82
Ben Heller,CH,41.64791398087719,14
Ben Heller,CU,47.385066909485076,40
Ben Heller,FF,53.293811881235214,57
Ben Rowen,SI,42.18334537237416,91
Ben Rowen,SL,42.94989660762677,102
Bennett Sousa,FF,46.31275098281756,155
Bennett Sousa,SL,54.0943041306283,208
Bernardo Flores Jr.,FF,46.27323943401859,16
Blaine Hardy,CH,45.2913101735623,13
Blaine Hardy,FC,53.03901425439718,15
Blake Cederlind,FC,59.44670552837998,31
Blake Cederlind,SI,54.53289154178946,47
Blake Parker,CU,48.370704089457405,106
Blake Parker,FC,45.62471448162473,87
Blake Parker,FF,42.40107880014801,468
Blake Parker,FS,51.70362028365901,379
Blake Snell,CH,49.845805629652595,610
Blake Snell,CU,46.113017862283094,941
Blake Snell,FF,65.16366247377263,3361
Blake Snell,SL,59.400045106467566,1425
Blake Taylor,FF,51.363551858433965,1137
Blake Taylor,SL,49.941966983532325,405
Blake Treinen,FC,48.077951284153855,490
Blake Treinen,FF,45.2409818840932,177
Blake Treinen,SI,48.74347707174863,691
Blake Treinen,SL,53.48474240120985,626
Bobby Wahl,FF,57.523780776428055,19
Bobby Wahl,SL,42.778445311493876,19
Brad Boxberger,CH,52.56632956252132,559
Brad Boxberger,FF,48.78423968891703,1423
Brad Boxberger,SL,47.800073365057614,570
Brad Brach,CH,48.31500960507937,271
Brad Brach,FC,48.68922570464006,87
Brad Brach,FF,43.093251280359766,327
Brad Brach,SI,40.4052699118263,69
Brad Brach,SL,45.14932572911093,96
Brad Hand,FF,44.8266183043856,837
Brad Hand,SI,46.90285140873332,421
Brad Hand,SL,44.38964600157983,1160
Brad Keller,CH,43.14810374256078,291
Brad Keller,FF,49.58827198645282,1866
Brad Keller,SI,44.29998999851474,1446
Brad Keller,SL,54.89601069088151,2000
Brad Peacock,CH,39.54091550449248,29
Brad Peacock,FF,41.174713865395034,27
Brad Peacock,SI,48.42647515293069,51
Brad Peacock,SL,49.36094732007884,56
Brad Wieck,FF,57.26555034284704,261
Brad Wieck,KC,40.22205284208678,41
Brady Lail,CH,50.10226215950645,52
Brady Lail,CU,42.88530459070865,65
Brady Lail,FF,52.43722990273625,99
Brady Lail,SI,44.84446288945654,55
Brady Lail,SL,46.20228376766209,54
Brady Singer,CH,45.08352592547919,320
Brady Singer,FF,42.039600140481085,27
Brady Singer,SI,51.15956009110697,3207
Brady Singer,SL,48.977371877307284,2175
Brailyn Marquez,FF,55.09641116626039,16
Branden Kline,CH,51.04076557198986,21
Branden Kline,FF,41.75758477771304,53
Branden Kline,SL,52.80131831300112,14
Brandon Bailey,CH,56.09514947708301,17
Brandon Bailey,CU,46.39741973230205,20
Brandon Bailey,FF,53.066844908458215,51
Brandon Bielak,CH,49.38104225819787,232
Brandon Bielak,CU,40.69084494802662,169
Brandon Bielak,FC,48.186258210040506,131
Brandon Bielak,FF,45.73828211050105,716
Brandon Bielak,SI,46.70821313294863,187
Brandon Bielak,SL,47.00673156490797,241
Brandon Brennan,CH,35.961469346305826,59
Brandon Brennan,FF,31.152283470283304,16
Brandon Brennan,SI,40.57656125165461,69
Brandon Brennan,SL,37.58241768490834,14
Brandon Dickson,SI,49.176758358248435,11
Brandon Dickson,SL,51.13993301079801,14
Brandon Hughes,FF,49.12356916875783,449
Brandon Hughes,SI,46.18877677636301,48
Brandon Hughes,SL,46.68675926345328,426
Brandon Kintzler,CH,43.385333772174654,105
Brandon Kintzler,FF,30.36966140342146,11
Brandon Kintzler,SI,50.7958232224138,677
Brandon Kintzler,SL,47.881806309719856,111
Brandon Leibrandt,CH,47.15545978338824,17
Brandon Leibrandt,FF,49.84596920164528,70
Brandon Waddell,CH,43.188774489464656,21
Brandon Waddell,FF,53.075230987665535,115
Brandon Waddell,SI,47.98851139706878,25
Brandon Waddell,SL,52.2383774125276,115
Brandon Woodruff,CH,55.95408740195361,1098
Brandon Woodruff,CU,54.275537954004236,930
Brandon Woodruff,FF,53.79779627417441,2479
Brandon Woodruff,SI,51.758466368881194,1798
Brandon Woodruff,SL,61.13438104910229,691
Brandon Workman,FC,49.701929487702564,223
Brandon Workman,FF,45.629536118737235,303
Brandon Workman,KC,28.939046471142955,458
Brandyn Sittinger,FF,43.68663973060292,56
Brandyn Sittinger,SL,52.65916092359967,24
Braxton Garrett,CH,46.280017372752205,233
Braxton Garrett,CU,40.262487980314674,296
Braxton Garrett,FF,45.29154788407887,628
Braxton Garrett,SI,49.71909324208588,416
Braxton Garrett,SL,44.050797457375594,600
Brayan Bello,CH,50.57138899200951,236
Brayan Bello,FF,44.01484796547219,186
Brayan Bello,SI,51.690036376518954,351
Brayan Bello,SL,55.40940633531515,219
Brendon Little,SI,48.66650487247724,15
Brennan Bernardino,CU,37.332392676147855,15
Brennan Bernardino,SI,53.28149410973544,26
Brent Honeywell Jr,CH,46.97898853472542,18
Brent Honeywell Jr,FC,45.09566920294384,20
Brent Honeywell Jr,FF,39.3287642843086,39
Brent Suter,CH,42.80733072056138,463
Brent Suter,CU,39.03473713661964,254
Brent Suter,FF,49.692295927736,1964
Brent Suter,SI,40.08436797607261,162
Brett Anderson,CH,45.131632130290726,550
Brett Anderson,FC,32.209649479114134,206
Brett Anderson,FF,31.619819086491603,25
Brett Anderson,KC,41.56353334210407,266
Brett Anderson,SI,47.166552577394626,948
Brett Anderson,SL,47.64436285448656,192
Brett Eibner,FC,42.544392529862336,18
Brett Eibner,FF,48.13223617785952,34
Brett Eibner,SL,45.406410702697166,14
Brett Martin,CU,50.60966900296846,506
Brett Martin,FF,45.80227350612692,383
Brett Martin,SI,54.44396841376474,597
Brett Martin,SL,48.64584834057295,443
Brett Phillips,FA,20.0,22
Brett de Geus,CU,46.92142465918907,182
Brett de Geus,FC,42.45984492941038,235
Brett de Geus,SI,45.726032012695846,509
Brian Moran,CU,45.72853687499046,45
Brian Moran,FF,50.583180762479245,64
Brock Burke,CH,57.994148011927855,176
Brock Burke,FF,53.47331322471763,840
Brock Burke,SI,50.085825212479875,49
Brock Burke,SL,51.025717451746964,265
Brody Koerner,FC,40.91010734056068,13
Brody Koerner,SI,47.922506152798555,23
Brooks Kriske,CH,58.09932376889276,26
Brooks Kriske,FF,52.94558566119545,180
Brooks Kriske,FS,52.91464546911315,75
Brooks Kriske,SL,53.62403980395347,19
Brooks Raley,CH,42.31103070991012,223
Brooks Raley,CU,32.26195576203312,195
Brooks Raley,FC,52.55159064210406,717
Brooks Raley,FF,39.63791248120069,138
Brooks Raley,SI,47.353616225915765,418
Brooks Raley,SL,44.75792603677862,740
Bruce Zimmermann,CH,49.54975158002748,639
Bruce Zimmermann,CU,52.24383806016754,302
Bruce Zimmermann,FF,45.56204282098824,844
Bruce Zimmermann,SI,49.319511562265575,114
Bruce Zimmermann,SL,52.09554403396984,429
Brusdar Graterol,FC,50.11734190358387,269
Brusdar Graterol,FF,45.556318574567065,104
Brusdar Graterol,SI,61.93605570484435,947
Brusdar Graterol,SL,64.94318066080785,451
Bryan Abreu,CU,58.62870989680236,245
Bryan Abreu,FF,53.220382689796075,830
Bryan Abreu,SI,47.25857555808012,31
Bryan Abreu,SL,64.45684500634943,853
Bryan Baker,CH,56.28020325613228,217
Bryan Baker,FC,57.032933438208175,337
Bryan Baker,FF,57.344140641884685,697
Bryan Garcia,CH,36.67659954521522,262
Bryan Garcia,FF,44.14574253282436,21
Bryan Garcia,SI,43.729563315091845,756
Bryan Garcia,SL,48.498322678328925,341
Bryan Hoeing,CH,41.55122406117233,28
Bryan Hoeing,CU,46.258225759282745,20
Bryan Hoeing,SI,45.485450361723686,189
Bryan Hoeing,SL,48.034541886704766,30
Bryan Mitchell,CU,50.397831566164854,15
Bryan Mitchell,FC,54.59084601381032,13
Bryan Mitchell,FF,48.81428665950292,39
Bryan Shaw,CH,44.32684753474646,93
Bryan Shaw,CU,46.356419734159566,184
Bryan Shaw,FC,52.97014363811226,1889
Bryan Shaw,FF,37.78793520120835,22
Bryan Shaw,SI,42.69372135794271,62
